SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22014,201976,0021401048,"MAR 23, 2015",HOU @ IND,W,20,3,6,0.5,2,3,0.667,0,0,0.0,1,0,1,0,1,2,3,1,8,7,1
22014,201976,0021401034,"MAR 21, 2015",HOU vs. PHX,L,29,4,8,0.5,2,4,0.5,0,0,0.0,0,3,3,4,2,0,2,6,10,0,1
22014,201976,0021401017,"MAR 19, 2015",HOU vs. DEN,W,37,3,7,0.429,2,5,0.4,2,2,1.0,1,1,2,7,1,0,2,1,10,14,1
22014,201976,0021401002,"MAR 17, 2015",HOU vs. ORL,W,35,5,12,0.417,2,7,0.286,0,0,0.0,0,2,2,7,0,1,0,1,12,23,1
22014,201976,0021400983,"MAR 15, 2015",HOU @ LAC,W,32,3,7,0.429,1,5,0.2,4,4,1.0,0,2,2,3,1,0,2,4,11,14,1
22014,201976,0021400965,"MAR 12, 2015",HOU @ UTA,L,23,4,8,0.5,1,4,0.25,0,0,0.0,1,0,1,1,0,0,0,4,9,-19,1
22014,201976,0021400961,"MAR 11, 2015",HOU @ POR,L,35,2,12,0.167,1,8,0.125,0,0,0.0,1,7,8,4,0,1,0,2,5,2,1
22014,201976,0021400930,"MAR 07, 2015",HOU @ DEN,W,30,3,4,0.75,2,3,0.667,0,0,0.0,0,5,5,3,1,0,4,1,8,-8,1
22014,201976,0021400917,"MAR 06, 2015",HOU vs. DET,W,31,3,12,0.25,1,6,0.167,0,0,0.0,3,0,3,2,0,0,2,2,7,0,1
22014,201976,0021400901,"MAR 04, 2015",HOU vs. MEM,L,31,5,9,0.556,2,3,0.667,0,0,0.0,0,5,5,3,0,0,0,2,12,4,1
22014,201976,0021400892,"MAR 03, 2015",HOU @ ATL,L,34,3,9,0.333,3,8,0.375,0,0,0.0,0,5,5,7,1,1,2,6,9,-3,1
22014,201976,0021400883,"MAR 01, 2015",HOU vs. CLE,W,35,4,7,0.571,3,5,0.6,1,2,0.5,0,5,5,5,0,0,3,2,12,6,1
22014,201976,0021400863,"FEB 27, 2015",HOU vs. BKN,W,34,3,9,0.333,2,7,0.286,1,1,1.0,1,3,4,3,3,0,1,4,9,4,1
22014,201976,0021400819,"FEB 21, 2015",HOU vs. TOR,W,25,1,8,0.125,1,6,0.167,0,0,0.0,1,3,4,2,4,0,3,4,3,5,1
