SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22014,2430,0021401230,"APR 15, 2015",LAL vs. SAC,L,10,4,7,0.571,0,0,0.0,2,2,1.0,3,3,6,0,0,0,0,2,10,-5,1
22014,2430,0021401211,"APR 13, 2015",LAL @ SAC,L,20,4,10,0.4,0,0,0.0,0,0,0.0,5,5,10,1,0,1,2,4,8,-9,1
22014,2430,0021401153,"APR 05, 2015",LAL vs. LAC,L,16,4,10,0.4,0,0,0.0,1,2,0.5,2,1,3,2,0,0,1,0,9,-17,1
22014,2430,0021401136,"APR 03, 2015",LAL vs. POR,L,9,0,4,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,0,0,-10,1
22014,2430,0021401123,"APR 01, 2015",LAL vs. NOP,L,18,2,9,0.222,0,0,0.0,0,0,0.0,0,3,3,1,2,0,0,3,4,-7,1
22014,2430,0021401047,"MAR 22, 2015",LAL vs. PHI,W,26,4,8,0.5,0,0,0.0,0,0,0.0,0,6,6,1,0,1,2,3,8,6,1
22014,2430,0021401019,"MAR 19, 2015",LAL vs. UTA,L,21,5,9,0.556,0,0,0.0,1,1,1.0,0,2,2,3,0,0,3,2,11,-12,1
22014,2430,0021400999,"MAR 16, 2015",LAL @ GSW,L,24,5,12,0.417,0,0,0.0,0,0,0.0,4,5,9,2,1,0,2,4,10,-11,1
22014,2430,0021400989,"MAR 15, 2015",LAL vs. ATL,L,27,5,10,0.5,0,0,0.0,3,4,0.75,2,5,7,3,0,0,3,3,13,3,1
22014,2430,0021400966,"MAR 12, 2015",LAL vs. NYK,L,19,5,12,0.417,0,0,0.0,1,1,1.0,0,7,7,2,1,0,2,2,11,-5,1
22014,2430,0021400951,"MAR 10, 2015",LAL vs. DET,W,27,2,6,0.333,0,0,0.0,0,0,0.0,0,10,10,1,0,0,2,4,4,0,1
22014,2430,0021400937,"MAR 08, 2015",LAL vs. DAL,L,25,8,15,0.533,0,0,0.0,1,1,1.0,4,4,8,2,1,0,3,4,17,-4,1
22014,2430,0021400918,"MAR 06, 2015",LAL @ MEM,L,28,3,8,0.375,0,0,0.0,1,2,0.5,0,9,9,3,2,0,0,3,7,-8,1
22014,2430,0021400905,"MAR 04, 2015",LAL @ MIA,L,19,5,11,0.455,0,0,0.0,3,4,0.75,0,2,2,0,2,0,0,1,13,-9,1
22014,2430,0021400890,"MAR 03, 2015",LAL @ CHA,L,25,5,8,0.625,0,0,0.0,5,6,0.833,1,10,11,1,0,0,0,2,15,-1,1
22014,2430,0021400878,"MAR 01, 2015",LAL vs. OKC,L,19,4,11,0.364,0,0,0.0,0,0,0.0,1,5,6,1,0,0,1,2,8,-15,1
22014,2430,0021400868,"FEB 27, 2015",LAL vs. MIL,W,21,5,8,0.625,0,0,0.0,0,1,0.0,0,6,6,0,1,1,2,2,10,0,1
22014,2430,0021400851,"FEB 25, 2015",LAL @ UTA,W,22,5,13,0.385,0,0,0.0,4,7,0.571,0,6,6,1,3,0,2,2,14,3,1
22014,2430,0021400829,"FEB 22, 2015",LAL vs. BOS,W,28,6,10,0.6,0,0,0.0,0,3,0.0,2,6,8,1,0,0,2,4,12,3,1
22014,2430,0021400798,"FEB 11, 2015",LAL @ POR,L,21,1,11,0.091,0,0,0.0,0,0,0.0,2,3,5,1,1,0,1,3,2,-4,1
22014,2430,0021400787,"FEB 10, 2015",LAL vs. DEN,L,30,8,15,0.533,0,0,0.0,5,8,0.625,4,6,10,4,1,0,2,3,21,-6,1
22014,2430,0021400766,"FEB 08, 2015",LAL @ CLE,L,15,4,10,0.4,0,0,0.0,1,1,1.0,3,3,6,3,0,0,0,2,9,-16,1
22014,2430,0021400748,"FEB 06, 2015",LAL @ ORL,L,18,7,13,0.538,0,0,0.0,0,1,0.0,2,1,3,2,2,0,2,3,14,-9,1
22014,2430,0021400736,"FEB 04, 2015",LAL @ MIL,L,37,13,21,0.619,0,0,0.0,2,2,1.0,1,8,9,4,0,0,4,1,28,-1,1
22014,2430,0021400717,"FEB 01, 2015",LAL @ NYK,L,25,6,15,0.4,0,0,0.0,7,8,0.875,1,9,10,1,1,0,0,1,19,-5,1
22014,2430,0021400695,"JAN 29, 2015",LAL vs. CHI,W,28,8,14,0.571,0,0,0.0,0,0,0.0,4,4,8,2,0,2,2,3,16,6,1
22014,2430,0021400680,"JAN 27, 2015",LAL vs. WAS,L,19,2,5,0.4,0,0,0.0,0,0,0.0,0,4,4,0,1,0,0,1,4,-4,1
22014,2430,0021400667,"JAN 25, 2015",LAL vs. HOU,L,22,9,13,0.692,0,0,0.0,0,0,0.0,4,7,11,2,0,1,2,2,18,-8,1
22014,2430,0021400648,"JAN 23, 2015",LAL @ SAS,L,26,5,10,0.5,0,0,0.0,0,0,0.0,0,7,7,0,0,1,2,4,10,-7,1
22014,2430,0021400632,"JAN 21, 2015",LAL @ NOP,L,20,2,6,0.333,0,0,0.0,2,2,1.0,1,1,2,0,0,0,1,1,6,0,1
22014,2430,0021400622,"JAN 19, 2015",LAL @ PHX,L,26,3,6,0.5,0,0,0.0,1,4,0.25,1,6,7,0,1,0,2,3,7,-8,1
22014,2430,0021400597,"JAN 16, 2015",LAL @ UTA,L,22,4,7,0.571,0,0,0.0,1,2,0.5,1,6,7,0,1,0,2,0,9,6,1
22014,2430,0021400586,"JAN 15, 2015",LAL vs. CLE,L,23,4,6,0.667,0,0,0.0,1,2,0.5,1,0,1,1,0,0,1,1,9,-3,1
22014,2430,0021400573,"JAN 13, 2015",LAL vs. MIA,L,23,1,8,0.125,0,0,0.0,0,0,0.0,0,6,6,0,2,0,1,1,2,1,1
22014,2430,0021400562,"JAN 11, 2015",LAL vs. POR,L,21,6,8,0.75,0,0,0.0,1,3,0.333,2,7,9,3,1,0,0,4,13,-1,1
22014,2430,0021400548,"JAN 09, 2015",LAL vs. ORL,W,26,6,12,0.5,0,0,0.0,0,0,0.0,2,12,14,0,0,1,0,3,12,8,1
22014,2430,0021400534,"JAN 07, 2015",LAL @ LAC,L,15,5,8,0.625,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,3,10,-5,1
22014,2430,0021400517,"JAN 05, 2015",LAL @ POR,L,23,3,9,0.333,0,0,0.0,2,2,1.0,0,5,5,2,0,0,0,2,8,3,1
22014,2430,0021400508,"JAN 04, 2015",LAL vs. IND,W,26,5,9,0.556,0,0,0.0,2,2,1.0,1,3,4,1,0,0,2,2,12,3,1
22014,2430,0021400494,"JAN 02, 2015",LAL vs. MEM,L,22,6,8,0.75,0,0,0.0,2,3,0.667,0,4,4,0,0,0,3,6,14,-7,1
22014,2430,0021400471,"DEC 30, 2014",LAL @ DEN,W,29,8,14,0.571,0,0,0.0,3,6,0.5,1,8,9,1,1,0,2,3,19,-9,1
22014,2430,0021400458,"DEC 28, 2014",LAL vs. PHX,L,22,4,7,0.571,0,0,0.0,0,0,0.0,0,6,6,1,1,0,0,2,8,1,1
22014,2430,0021400439,"DEC 26, 2014",LAL @ DAL,L,21,9,16,0.563,0,0,0.0,0,1,0.0,3,5,8,0,1,0,0,2,18,7,1
22014,2430,0021400430,"DEC 25, 2014",LAL @ CHI,L,17,7,11,0.636,0,0,0.0,0,0,0.0,2,3,5,0,0,0,0,3,14,-16,1
22014,2430,0021400426,"DEC 23, 2014",LAL vs. GSW,W,26,8,11,0.727,0,0,0.0,2,6,0.333,4,5,9,3,0,1,5,2,18,4,1
22014,2430,0021400402,"DEC 21, 2014",LAL @ SAC,L,22,3,7,0.429,0,0,0.0,0,0,0.0,1,6,7,0,0,0,0,1,6,-7,1
22014,2430,0021400392,"DEC 19, 2014",LAL vs. OKC,L,28,6,12,0.5,0,0,0.0,2,5,0.4,1,5,6,2,0,0,1,4,14,-2,1
22014,2430,0021400356,"DEC 15, 2014",LAL @ IND,L,25,3,8,0.375,0,0,0.0,7,10,0.7,2,8,10,2,1,0,1,0,13,-8,1
22014,2430,0021400351,"DEC 14, 2014",LAL @ MIN,W,27,10,14,0.714,0,0,0.0,2,3,0.667,6,7,13,2,0,0,1,4,22,4,1
22014,2430,0021400339,"DEC 12, 2014",LAL @ SAS,W,31,7,12,0.583,0,0,0.0,0,0,0.0,3,10,13,1,0,2,1,3,14,2,1
22014,2430,0021400315,"DEC 09, 2014",LAL vs. SAC,W,28,6,13,0.462,0,0,0.0,3,6,0.5,0,9,9,1,1,0,0,1,15,13,1
22014,2430,0021400300,"DEC 07, 2014",LAL vs. NOP,L,23,6,12,0.5,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,3,12,-15,1
22014,2430,0021400279,"DEC 05, 2014",LAL @ BOS,L,18,1,6,0.167,0,0,0.0,0,0,0.0,0,7,7,1,0,0,2,3,2,-10,1
22014,2430,0021400264,"DEC 03, 2014",LAL @ WAS,L,26,5,9,0.556,0,0,0.0,0,0,0.0,2,6,8,0,1,0,2,3,10,-20,1
22014,2430,0021400255,"DEC 02, 2014",LAL @ DET,W,26,7,13,0.538,0,0,0.0,0,0,0.0,0,7,7,2,2,0,0,4,14,16,1
22014,2430,0021400248,"NOV 30, 2014",LAL vs. TOR,W,30,9,15,0.6,0,0,0.0,0,0,0.0,2,7,9,2,0,0,2,2,18,11,1
22014,2430,0021400234,"NOV 28, 2014",LAL vs. MIN,L,22,6,9,0.667,0,0,0.0,3,4,0.75,2,3,5,0,1,0,0,2,15,-1,1
22014,2430,0021400222,"NOV 26, 2014",LAL vs. MEM,L,21,2,6,0.333,0,0,0.0,0,2,0.0,1,5,6,1,0,0,1,2,4,-7,1
22014,2430,0021400180,"NOV 21, 2014",LAL @ DAL,L,20,6,11,0.545,0,0,0.0,0,2,0.0,0,1,1,2,0,0,0,3,12,-3,1
22014,2430,0021400169,"NOV 19, 2014",LAL @ HOU,W,30,5,15,0.333,0,0,0.0,2,3,0.667,3,10,13,1,0,0,2,3,12,-2,1
22014,2430,0021400155,"NOV 18, 2014",LAL @ ATL,W,29,10,14,0.714,0,0,0.0,0,0,0.0,4,6,10,2,0,0,0,3,20,-4,1
22014,2430,0021400145,"NOV 16, 2014",LAL vs. GSW,L,21,3,13,0.231,0,0,0.0,0,0,0.0,1,4,5,1,0,0,0,4,6,-28,1
22014,2430,0021400131,"NOV 14, 2014",LAL vs. SAS,L,32,8,13,0.615,0,0,0.0,3,4,0.75,2,6,8,1,2,0,2,2,19,-10,1
22014,2430,0021400114,"NOV 12, 2014",LAL @ NOP,L,34,6,13,0.462,0,0,0.0,4,6,0.667,2,4,6,0,2,0,2,2,16,-15,1
22014,2430,0021400104,"NOV 11, 2014",LAL @ MEM,L,29,8,13,0.615,0,0,0.0,4,5,0.8,4,4,8,3,0,0,0,6,20,-1,1
22014,2430,0021400097,"NOV 09, 2014",LAL vs. CHA,W,30,7,11,0.636,0,0,0.0,2,2,1.0,0,5,5,1,1,0,2,5,16,5,1
22014,2430,0021400056,"NOV 04, 2014",LAL vs. PHX,L,29,6,13,0.462,0,0,0.0,1,2,0.5,1,5,6,4,0,0,1,4,13,-7,1
22014,2430,0021400038,"NOV 01, 2014",LAL @ GSW,L,24,4,9,0.444,0,0,0.0,1,1,1.0,3,1,4,1,0,0,0,4,9,-26,1
22014,2430,0021400026,"OCT 31, 2014",LAL vs. LAC,L,29,3,9,0.333,0,0,0.0,3,5,0.6,2,5,7,3,0,1,2,5,9,-4,1
22014,2430,0021400013,"OCT 29, 2014",LAL @ PHX,L,23,2,6,0.333,0,0,0.0,0,0,0.0,0,4,4,1,1,0,8,2,4,-25,1
22014,2430,0021400003,"OCT 28, 2014",LAL vs. HOU,L,28,7,13,0.538,0,0,0.0,3,3,1.0,3,4,7,2,1,0,0,1,17,-7,1
