SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22019,1629052,0021900843,"FEB 23, 2020",TOR vs. IND,W,5,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,2,0,0,0,0,4,9,1
22019,1629052,0021900829,"FEB 21, 2020",TOR vs. PHX,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,1
22019,1629052,0021900781,"FEB 08, 2020",TOR vs. BKN,W,8,0,2,0.0,0,2,0.0,1,2,0.5,1,0,1,1,0,0,0,1,1,10,1
22019,1629052,0021900740,"FEB 02, 2020",TOR vs. CHI,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,2,3,1
22019,1629052,0021900720,"JAN 31, 2020",TOR @ DET,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-6,1
22019,1629052,0021900703,"JAN 28, 2020",TOR vs. ATL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-1,1
22019,1629052,0021900587,"JAN 12, 2020",TOR vs. SAS,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3,1
22019,1629052,0021900555,"JAN 08, 2020",TOR @ CHA,W,10,0,5,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,3,0,-9,1
22019,1629052,0021900549,"JAN 07, 2020",TOR vs. POR,L,23,5,9,0.556,2,4,0.5,0,0,0.0,3,3,6,1,1,0,0,1,12,3,1
22019,1629052,0021900524,"JAN 04, 2020",TOR @ BKN,W,9,1,1,1.0,0,0,0.0,4,4,1.0,0,1,1,0,1,0,0,1,6,8,1
22019,1629052,0021900500,"DEC 31, 2019",TOR vs. CLE,W,15,0,3,0.0,0,2,0.0,1,2,0.5,2,2,4,0,0,0,0,2,1,9,1
22019,1629052,0021900486,"DEC 29, 2019",TOR vs. OKC,L,18,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,4,2,1
22019,1629052,0021900473,"DEC 28, 2019",TOR @ BOS,W,15,2,5,0.4,0,1,0.0,0,0,0.0,3,3,6,2,0,0,1,4,4,7,1
22019,1629052,0021900455,"DEC 25, 2019",TOR vs. BOS,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,6,1
22019,1629052,0021900381,"DEC 14, 2019",TOR vs. BKN,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2,1
22019,1629052,0021900291,"DEC 01, 2019",TOR vs. UTA,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1,1
22019,1629052,0021900258,"NOV 27, 2019",TOR vs. NYK,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,2,1
22019,1629052,0021900207,"NOV 20, 2019",TOR vs. ORL,W,1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,-1,1
22019,1629052,0021900191,"NOV 18, 2019",TOR vs. CHA,W,5,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22020,1629052,0022001079,"MAY 16, 2021",IND @ TOR,W,36,10,16,0.625,5,8,0.625,6,9,0.667,1,9,10,3,0,0,0,3,31,10,1
22020,1629052,0022001061,"MAY 15, 2021",IND vs. LAL,L,30,2,7,0.286,0,4,0.0,1,2,0.5,2,3,5,2,1,0,0,1,5,-20,1
22020,1629052,0022001048,"MAY 13, 2021",IND vs. MIL,L,28,5,12,0.417,5,8,0.625,4,4,1.0,1,2,3,1,2,0,0,4,19,-15,1
22020,1629052,0022001035,"MAY 11, 2021",IND vs. PHI,W,29,0,6,0.0,0,4,0.0,2,2,1.0,3,2,5,2,3,1,0,1,2,-2,1
22020,1629052,0022001027,"MAY 10, 2021",IND @ CLE,W,23,3,3,1.0,1,1,1.0,1,2,0.5,1,1,2,0,0,2,1,0,8,-4,1
22020,1629052,0022001012,"MAY 08, 2021",IND vs. WAS,L,24,5,6,0.833,0,0,0.0,2,2,1.0,0,4,4,0,1,0,1,2,12,10,1
22020,1629052,0022001000,"MAY 06, 2021",IND vs. ATL,W,24,3,7,0.429,0,3,0.0,4,4,1.0,1,7,8,0,2,0,1,2,10,4,1
22020,1629052,0022000993,"MAY 05, 2021",IND vs. SAC,L,24,3,8,0.375,1,4,0.25,1,2,0.5,1,2,3,0,1,0,2,0,8,-10,1
22020,1629052,0022000976,"MAY 03, 2021",IND @ WAS,L,26,2,7,0.286,2,4,0.5,4,4,1.0,2,2,4,0,1,0,0,1,10,-15,1
22020,1629052,0022000963,"MAY 01, 2021",IND @ OKC,W,40,6,11,0.545,3,6,0.5,1,3,0.333,1,12,13,3,0,4,1,3,16,49,1
22020,1629052,0022000944,"APR 29, 2021",IND vs. BKN,L,36,4,10,0.4,2,5,0.4,4,4,1.0,2,7,9,1,2,3,1,4,14,2,1
22020,1629052,0022000929,"APR 27, 2021",IND vs. POR,L,40,5,11,0.455,4,7,0.571,4,6,0.667,2,8,10,1,2,5,1,2,18,-7,1
