SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22014,203485,0021401222,"APR 15, 2015",MIN vs. OKC,L,20,6,10,0.6,1,3,0.333,0,0,0.0,1,2,3,1,2,0,1,3,13,-4,1
22014,203485,0021401208,"APR 13, 2015",MIN vs. NOP,L,25,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,4,0,1,2,3,2,-1,1
22014,203485,0021401192,"APR 11, 2015",MIN @ GSW,L,24,2,8,0.25,0,3,0.0,1,2,0.5,1,5,6,3,2,0,1,2,5,3,1
22014,203485,0021401186,"APR 10, 2015",MIN @ LAL,L,30,4,11,0.364,0,4,0.0,2,2,1.0,1,3,4,4,3,0,1,4,10,14,1
22014,203485,0021401172,"APR 08, 2015",MIN @ POR,L,18,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,3,1,1,0,2,0,-5,1
22014,203485,0021401158,"APR 07, 2015",MIN @ SAC,L,12,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,4,0,0,0,1,0,-9,1
22014,203485,0021401133,"APR 03, 2015",MIN vs. ORL,L,9,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,0,0,-5,1
22014,203485,0021401119,"APR 01, 2015",MIN vs. TOR,L,24,3,5,0.6,1,2,0.5,0,0,0.0,0,1,1,5,1,1,1,2,7,-17,1
22014,203485,0021401106,"MAR 30, 2015",MIN vs. UTA,L,30,3,7,0.429,1,1,1.0,0,0,0.0,1,0,1,6,1,2,1,1,7,-16,1
22014,203485,0021401094,"MAR 29, 2015",MIN @ NOP,L,36,3,6,0.5,0,1,0.0,2,2,1.0,0,3,3,8,0,0,4,2,8,-23,1
22014,203485,0021401081,"MAR 27, 2015",MIN @ HOU,L,37,3,11,0.273,0,2,0.0,0,0,0.0,0,2,2,5,3,0,2,2,6,-11,1
22014,203485,0021401067,"MAR 25, 2015",MIN vs. LAL,L,35,4,9,0.444,0,2,0.0,0,0,0.0,1,8,9,1,3,0,1,5,8,-8,1
22014,203485,0021401052,"MAR 23, 2015",MIN @ UTA,W,45,4,5,0.8,0,0,0.0,2,3,0.667,1,6,7,6,2,0,3,5,10,-4,1
22014,203485,0021401045,"MAR 22, 2015",MIN vs. CHA,L,17,4,5,0.8,1,1,1.0,0,0,0.0,0,1,1,4,1,0,0,1,9,-4,1
22014,203485,0021401016,"MAR 19, 2015",MIN @ NYK,W,26,1,2,0.5,0,1,0.0,0,0,0.0,0,3,3,3,1,0,1,1,2,4,1
22014,203485,0021401008,"MAR 18, 2015",MIN @ TOR,L,20,4,5,0.8,0,0,0.0,0,0,0.0,1,1,2,5,3,0,0,2,8,3,1
22014,203485,0021400994,"MAR 16, 2015",MIN vs. BKN,L,18,0,5,0.0,0,0,0.0,0,0,0.0,3,2,5,5,0,1,1,1,0,7,1
22014,203485,0021400986,"MAR 15, 2015",MIN @ SAS,L,16,3,6,0.5,0,2,0.0,0,0,0.0,0,0,0,7,2,0,1,1,6,-1,1
22014,203485,0021400971,"MAR 13, 2015",MIN @ OKC,L,2,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,4,1
22014,203485,0021400959,"MAR 11, 2015",MIN @ PHX,L,1,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,5,1
22014,203485,0021400945,"MAR 09, 2015",MIN @ LAC,L,3,1,1,1.0,0,0,0.0,0,2,0.0,0,1,1,1,1,0,0,0,2,6,1
22014,203485,0021400928,"MAR 07, 2015",MIN vs. POR,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
22014,203485,0021400848,"FEB 25, 2015",MIN vs. WAS,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
22014,203485,0021400832,"FEB 23, 2015",MIN @ HOU,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22014,203485,0021400769,"FEB 08, 2015",MIN @ DET,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4,1
22014,203485,0021400724,"FEB 02, 2015",MIN @ DAL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-6,1
22014,203485,0021400711,"JAN 31, 2015",MIN vs. CLE,L,48,0,5,0.0,0,1,0.0,1,2,0.5,1,5,6,9,0,0,3,3,1,-16,1
22014,203485,0021400696,"JAN 30, 2015",MIN @ PHI,L,23,2,4,0.5,0,0,0.0,0,0,0.0,0,2,2,3,2,0,3,3,4,-15,1
22014,203485,0021400686,"JAN 28, 2015",MIN vs. BOS,W,24,3,6,0.5,2,3,0.667,3,4,0.75,0,1,1,3,0,0,1,2,11,9,1
22015,203485,0021500684,"JAN 27, 2016",PHX @ CLE,L,2,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,1
22015,203485,0021500677,"JAN 26, 2016",PHX @ PHI,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0,-5,1
22015,203485,0021500660,"JAN 23, 2016",PHX vs. ATL,W,7,1,3,0.333,0,1,0.0,0,1,0.0,0,0,0,3,1,0,0,0,2,-2,1
22015,203485,0021500644,"JAN 21, 2016",PHX vs. SAS,L,9,0,4,0.0,0,2,0.0,0,0,0.0,0,4,4,2,0,0,1,0,0,-1,1
22015,203485,0021500628,"JAN 19, 2016",PHX vs. IND,L,5,1,4,0.25,0,1,0.0,1,1,1.0,0,0,0,0,1,0,0,1,3,-6,1
22015,203485,0021500610,"JAN 17, 2016",PHX @ MIN,L,9,2,5,0.4,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,1,4,-8,1
22015,203485,0021500595,"JAN 15, 2016",PHX @ BOS,L,5,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-6,1
22015,203485,0021500569,"JAN 12, 2016",PHX @ IND,L,20,2,5,0.4,1,3,0.333,2,2,1.0,0,2,2,5,1,0,5,1,7,-4,1
22017,203485,0021701204,"APR 09, 2018",TOR @ DET,W,25,5,9,0.556,1,4,0.25,0,0,0.0,1,4,5,1,1,0,1,2,11,4,1
22017,203485,0021701058,"MAR 20, 2018",TOR @ ORL,W,19,2,4,0.5,1,1,1.0,2,2,1.0,0,0,0,0,1,0,1,0,7,23,1
22017,203485,0021700762,"FEB 01, 2018",TOR @ WAS,L,11,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,2,-9,1
22017,203485,0021700631,"JAN 13, 2018",TOR vs. GSW,L,5,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,-1,1
22017,203485,0021700615,"JAN 11, 2018",TOR vs. CLE,W,19,3,8,0.375,0,2,0.0,0,0,0.0,0,0,0,5,0,0,0,0,6,19,1
22017,203485,0021700599,"JAN 09, 2018",TOR vs. MIA,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,1
22017,203485,0021700424,"DEC 15, 2017",TOR vs. BKN,W,4,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,0,2
22017,203485,0021700411,"DEC 13, 2017",TOR @ PHX,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22017,203485,0021700396,"DEC 11, 2017",TOR @ LAC,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,1
22017,203485,0021700350,"DEC 05, 2017",TOR vs. PHX,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22017,203485,0021700280,"NOV 25, 2017",TOR @ ATL,W,18,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,2,0,0,0,2,2,7,1
22017,203485,0021700271,"NOV 24, 2017",TOR @ IND,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-5,1
22017,203485,0021700237,"NOV 19, 2017",TOR vs. WAS,W,8,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,2,0,0,1,0,6,1
22017,203485,0021700221,"NOV 17, 2017",TOR vs. NYK,W,18,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,3,0,0,0,0,0,5,2
22018,203485,0021800589,"JAN 06, 2019",TOR vs. IND,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
22018,203485,0021800563,"JAN 03, 2019",TOR @ SAS,L,5,1,2,0.5,0,0,0.0,1,1,1.0,0,0,0,1,1,0,0,0,3,8,1
22018,203485,0021800538,"DEC 30, 2018",TOR vs. CHI,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,1
22018,203485,0021800519,"DEC 28, 2018",TOR @ ORL,L,6,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,-7,1
22018,203485,0021800481,"DEC 22, 2018",TOR @ PHI,L,6,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,0,0,-5,1
22018,203485,0021800470,"DEC 21, 2018",TOR vs. CLE,W,16,3,6,0.5,1,2,0.5,0,0,0.0,0,2,2,3,3,0,1,3,7,2,1
22018,203485,0021800459,"DEC 19, 2018",TOR vs. IND,W,7,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,0,8,1
22018,203485,0021800442,"DEC 16, 2018",TOR @ DEN,L,15,2,7,0.286,0,2,0.0,0,0,0.0,1,2,3,3,0,1,1,1,4,-19,1
22018,203485,0021800415,"DEC 12, 2018",TOR @ GSW,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,-3,1
22018,203485,0021800404,"DEC 11, 2018",TOR @ LAC,W,12,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-5,1
22018,203485,0021800359,"DEC 05, 2018",TOR vs. PHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
22018,203485,0021800303,"NOV 27, 2018",TOR @ MEM,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22018,203485,0021800271,"NOV 23, 2018",TOR vs. WAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22018,203485,0021800254,"NOV 21, 2018",TOR @ ATL,W,15,1,5,0.2,1,2,0.5,0,0,0.0,0,2,2,2,0,0,2,1,3,-8,1
22018,203485,0021800248,"NOV 20, 2018",TOR @ ORL,W,20,2,5,0.4,2,5,0.4,2,2,1.0,1,2,3,2,0,1,0,1,8,6,1
22018,203485,0021800230,"NOV 17, 2018",TOR @ CHI,W,22,5,9,0.556,0,3,0.0,0,0,0.0,0,1,1,2,3,1,4,4,10,9,1
22018,203485,0021800192,"NOV 12, 2018",TOR vs. NOP,L,7,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0,1,1
22018,203485,0021800174,"NOV 10, 2018",TOR vs. NYK,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-2,1
22018,203485,0021800146,"NOV 05, 2018",TOR @ UTA,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-9,1
22018,203485,0021800100,"OCT 30, 2018",TOR vs. PHI,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,1
22018,203485,0021800092,"OCT 29, 2018",TOR @ MIL,L,19,2,9,0.222,1,5,0.2,0,0,0.0,1,3,4,2,1,2,1,3,5,-7,1
22018,203485,0021800069,"OCT 26, 2018",TOR vs. DAL,W,15,4,8,0.5,1,2,0.5,0,0,0.0,0,1,1,1,2,0,1,2,9,5,1
22018,203485,0021800055,"OCT 24, 2018",TOR vs. MIN,W,12,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,2,0,0,2,0,2,1,1
22018,203485,0021800041,"OCT 22, 2018",TOR vs. CHA,W,4,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2,0,1
22018,203485,0021800027,"OCT 20, 2018",TOR @ WAS,W,9,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-5,1
22018,203485,0021800008,"OCT 17, 2018",TOR vs. CLE,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,1
